date	plate	well	time	od	yfp
2017-10-30	1	G8	207.0333	0.2834	1218
2017-10-30	1	G8	249.5333	0.3318	1264
2017-10-30	1	G8	297.4833	0.3893	1827
2017-10-30	1	G8	368.7667	0.4065	1946
2017-10-30	1	G8	428.2667	0.4141	1967
2017-10-30	1	G8	494.2667	0.4227	2058
2017-10-30	1	G9	0.0	0.0432	58
2017-10-30	1	G9	82.85	0.1088	95
2017-10-30	1	G9	125.9833	0.2043	148
2017-10-30	1	G9	168.9333	0.259	638
2017-10-30	1	G9	207.0333	0.2799	1100
2017-10-30	1	G9	249.5333	0.3314	1401
2017-10-30	1	G9	297.4833	0.3877	1739
2017-10-30	1	G9	368.7667	0.4001	2045
2017-10-30	1	G9	428.2667	0.4093	1947
2017-10-30	1	G9	494.2667	0.4161	2057
