time	well	yfp	od
2967	F10	31	0.0381
2967	G10	40	0.042599998
2967	H10	36	0.039799999
2967	A11	34	0.0405
2967	B11	33	0.039999999
2967	C11	35	0.0394
2967	D11	34	0.039799999
2967	E11	35	0.039099999
2967	F11	32	0.0394
2967	G11	34	0.038899999
2967	H11	35	0.0405
2967	A12	32	0.039799999
2967	B12	34	0.040800001
2967	C12	35	0.039099999
2967	D12	34	0.0403
2967	E12	34	0.037900001
2967	F12	35	0.038400002
2967	G12	35	0.036800001
2967	H12	36	0.040100001
4404	A1	34	0.038800001
4404	B1	35	0.038400002
4404	C1	36	0.037799999
4404	D1	34	0.039000001
4404	E1	36	0.037500001
4404	F1	36	0.037900001
4404	G1	36	0.039000001
4404	H1	37	0.038699999
4404	A2	34	0.037500001
4404	B2	37	0.037799999
4404	C2	32	0.039000001
4404	D2	35	0.0385
4404	E2	33	0.038400002
4404	F2	35	0.038699999
4404	G2	35	0.039099999
4404	H2	38	0.039999999
4404	A3	34	0.0381
4404	B3	35	0.038800001
4404	C3	32	0.0372
4404	D3	37	0.0392
4404	E3	36	0.037500001
4404	F3	38	0.037300002
4404	G3	34	0.039000001
4404	H3	39	0.040100001
4404	A4	36	0.0381
4404	B4	60	0.170200005
4404	C4	55	0.181099996
4404	D4	35	0.233899996
4404	E4	36	0.269600004
4404	F4	11236	0.256099999
4404	G4	1640	0.202299997
4404	H4	38	0.038899999
4404	A5	37	0.038600001
4404	B5	38	0.159700006
4404	C5	35	0.164499998
4404	D5	37	0.154300004
4404	E5	37	0.171299994
4404	F5	7691	0.161200002
4404	G5	1606	0.173199996
4404	H5	38	0.038699999
4404	A6	40	0.0383
4404	B6	42	0.167199999
4404	C6	38	0.178900003
4404	D6	34	0.212799996
4404	E6	32	0.233400002
4404	F6	9388	0.207599998
4404	G6	1608	0.182099998
4404	H6	36	0.039500002
4404	A7	35	0.0385
4404	B7	62	0.183699995
4404	C7	62	0.192599997
4404	D7	42	0.095899999
4404	E7	41	0.088
4404	F7	2230	0.084399998
4404	G7	224	0.0858
4404	H7	36	0.0392
4404	A8	34	0.037500001
4404	B8	41	0.168599993
4404	C8	38	0.177599996
4404	D8	42	0.090700001
4404	E8	43	0.087499999
4404	F8	2558	0.090599999
4404	G8	226	0.085100003
4404	H8	39	0.039500002
